2026-04-01 15:07:37 | INFO     | PID:54124 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:07:43 | INFO     | PID:124676 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'communication' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:124676 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'otheractions' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:124676 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'otheractions' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:52508 | agentkernel_distributed.mas.action.action:post_init:61 - Action Proxy: Post initializing all managed components...
2026-04-01 15:07:43 | INFO     | PID:124676 | agentkernel_distributed.mas.action.action:post_init:70 - Action Proxy: All components initialized.
2026-04-01 15:07:43 | INFO     | PID:52508 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'communication' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:52508 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'otheractions' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:52508 | agentkernel_distributed.mas.action.base.component_base:post_init:74 - All plugins in component 'otheractions' have been initialized.
2026-04-01 15:07:43 | INFO     | PID:52508 | agentkernel_distributed.mas.action.action:post_init:70 - Action Proxy: All components initialized.
2026-04-01 15:30:40 | INFO     | PID:68848 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:40 | ERROR    | PID:68848 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:40 | INFO     | PID:128936 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:40 | ERROR    | PID:128936 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:40 | INFO     | PID:129844 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:40 | ERROR    | PID:129844 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:40 | INFO     | PID:101552 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:40 | ERROR    | PID:101552 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:40 | INFO     | PID:98192 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:40 | ERROR    | PID:98192 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:42 | INFO     | PID:124292 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 15:30:42 | ERROR    | PID:124292 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 15:30:42 | INFO     | PID:68848 | agentkernel_distributed.mas.action.action:save_to_db:160 - Action Proxy: Saving state for all managed components...
2026-04-01 15:30:42 | WARNING  | PID:68848 | agentkernel_distributed.mas.action.action:save_to_db:176 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'communication'.
2026-04-01 15:30:42 | WARNING  | PID:68848 | agentkernel_distributed.mas.action.action:save_to_db:176 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'otheractions'.
2026-04-01 15:30:42 | WARNING  | PID:68848 | agentkernel_distributed.mas.action.action:save_to_db:176 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'otheractions'.
2026-04-01 15:30:42 | WARNING  | PID:68848 | agentkernel_distributed.mas.action.action:save_to_db:182 - Action Proxy: Some components failed to save state.
